batch_id,compare,pipeline,group,value,Metric,protocols_platforms,labs,type
P_BGI_L3_B1,F7/D6,kallisto,SO,0.859595856456966,RC,P_BGI,L3,isoform
P_BGI_L3_B1,M8/D6,kallisto,SO,0.835230145467146,RC,P_BGI,L3,isoform
P_BGI_L6_B1,D5/D6,kallisto,SO,0.880165629707457,RC,P_BGI,L6,isoform
P_BGI_L6_B1,F7/D6,kallisto,SO,0.910296926473747,RC,P_BGI,L6,isoform
P_BGI_L6_B1,M8/D6,kallisto,SO,0.755215544488768,RC,P_BGI,L6,isoform
P_ILM_L1_B1,D5/D6,kallisto,SO,0.90671361881253,RC,P_ILM,L1,isoform
P_ILM_L1_B1,F7/D6,kallisto,SO,0.880306919670167,RC,P_ILM,L1,isoform
P_ILM_L1_B1,M8/D6,kallisto,SO,0.797244383506754,RC,P_ILM,L1,isoform
P_ILM_L2_B1,D5/D6,kallisto,SO,0.902821494361106,RC,P_ILM,L2,isoform
P_ILM_L2_B1,F7/D6,kallisto,SO,0.851988097909359,RC,P_ILM,L2,isoform
P_ILM_L2_B1,M8/D6,kallisto,SO,0.777658114310444,RC,P_ILM,L2,isoform
P_ILM_L5_B1,D5/D6,kallisto,SO,0.848782582817284,RC,P_ILM,L5,isoform
P_ILM_L5_B1,F7/D6,kallisto,SO,0.772076613540914,RC,P_ILM,L5,isoform
P_ILM_L5_B1,M8/D6,kallisto,SO,0.775538835460237,RC,P_ILM,L5,isoform
P_ILM_L6_B1,D5/D6,kallisto,SO,0.846971232575118,RC,P_ILM,L6,isoform
P_ILM_L6_B1,F7/D6,kallisto,SO,0.887500455569916,RC,P_ILM,L6,isoform
P_ILM_L6_B1,M8/D6,kallisto,SO,0.776002634609329,RC,P_ILM,L6,isoform
P_ILM_L8_B1,D5/D6,kallisto,SO,0.892345288947186,RC,P_ILM,L8,isoform
P_ILM_L8_B1,F7/D6,kallisto,SO,0.861579695222897,RC,P_ILM,L8,isoform
P_ILM_L8_B1,M8/D6,kallisto,SO,0.787046684743125,RC,P_ILM,L8,isoform
R_BGI_L3_B1,D5/D6,kallisto,SO,0.863600144621783,RC,R_BGI,L3,isoform
R_BGI_L3_B1,F7/D6,kallisto,SO,0.77660693882264,RC,R_BGI,L3,isoform
R_BGI_L3_B1,M8/D6,kallisto,SO,0.78866226099265,RC,R_BGI,L3,isoform
R_BGI_L6_B1,D5/D6,kallisto,SO,0.789963965977628,RC,R_BGI,L6,isoform
R_BGI_L6_B1,F7/D6,kallisto,SO,0.817618186053219,RC,R_BGI,L6,isoform
R_BGI_L6_B1,M8/D6,kallisto,SO,0.742689083307587,RC,R_BGI,L6,isoform
R_BGI_L7_B1,D5/D6,kallisto,SO,0.780040054835143,RC,R_BGI,L7,isoform
R_BGI_L7_B1,F7/D6,kallisto,SO,0.729357573498578,RC,R_BGI,L7,isoform
R_BGI_L7_B1,M8/D6,kallisto,SO,0.716862603945293,RC,R_BGI,L7,isoform
R_ELE_LH_B1,D5/D6,kallisto,SO,0.86497856197463,RC,R_ELE,LH,isoform
R_ELE_LH_B1,F7/D6,kallisto,SO,0.770382043966612,RC,R_ELE,LH,isoform
R_ELE_LH_B1,M8/D6,kallisto,SO,0.742777109326673,RC,R_ELE,LH,isoform
R_ILM_L1_B1,D5/D6,kallisto,SO,0.816406026345793,RC,R_ILM,L1,isoform
R_ILM_L1_B1,F7/D6,kallisto,SO,0.787737828935768,RC,R_ILM,L1,isoform
R_ILM_L1_B1,M8/D6,kallisto,SO,0.765757562207875,RC,R_ILM,L1,isoform
R_ILM_L2_B1,D5/D6,kallisto,SO,0.766296365242468,RC,R_ILM,L2,isoform
R_ILM_L2_B1,F7/D6,kallisto,SO,0.715024071150243,RC,R_ILM,L2,isoform
R_ILM_L2_B1,M8/D6,kallisto,SO,0.70955580751222,RC,R_ILM,L2,isoform
R_ILM_L2_B2,D5/D6,kallisto,SO,0.888724564848932,RC,R_ILM,L2,isoform
R_ILM_L2_B2,F7/D6,kallisto,SO,0.817272241447223,RC,R_ILM,L2,isoform
R_ILM_L2_B2,M8/D6,kallisto,SO,0.764997225656166,RC,R_ILM,L2,isoform
