batch_id,compare,pipeline,group,value,Metric,protocols_platforms,labs,type
R_ILM_L5_B3,D5/D6,RSEM,SO,0.663292569954572,RC,R_ILM,L5,isoform
R_ILM_L5_B3,F7/D6,RSEM,SO,0.64084380845778,RC,R_ILM,L5,isoform
R_ILM_L5_B3,M8/D6,RSEM,SO,0.612821226970052,RC,R_ILM,L5,isoform
R_ILM_L6_B1,D5/D6,RSEM,SO,0.843092569457325,RC,R_ILM,L6,isoform
R_ILM_L6_B1,F7/D6,RSEM,SO,0.789943705341834,RC,R_ILM,L6,isoform
R_ILM_L6_B1,M8/D6,RSEM,SO,0.705183082997103,RC,R_ILM,L6,isoform
R_ILM_L8_B1,D5/D6,RSEM,SO,0.816024039948504,RC,R_ILM,L8,isoform
R_ILM_L8_B1,F7/D6,RSEM,SO,0.809921940219001,RC,R_ILM,L8,isoform
R_ILM_L8_B1,M8/D6,RSEM,SO,0.739271967908538,RC,R_ILM,L8,isoform
P_BGI_L3_B1,D5/D6,kallisto,SO,0.894790701595836,RC,P_BGI,L3,isoform
P_BGI_L3_B1,F7/D6,kallisto,SO,0.855861756896481,RC,P_BGI,L3,isoform
P_BGI_L3_B1,M8/D6,kallisto,SO,0.834673041629954,RC,P_BGI,L3,isoform
P_BGI_L6_B1,D5/D6,kallisto,SO,0.878207889143528,RC,P_BGI,L6,isoform
P_BGI_L6_B1,F7/D6,kallisto,SO,0.910225892962777,RC,P_BGI,L6,isoform
P_BGI_L6_B1,M8/D6,kallisto,SO,0.752545707113638,RC,P_BGI,L6,isoform
P_ILM_L1_B1,D5/D6,kallisto,SO,0.904676042548889,RC,P_ILM,L1,isoform
P_ILM_L1_B1,F7/D6,kallisto,SO,0.869861092189101,RC,P_ILM,L1,isoform
P_ILM_L1_B1,M8/D6,kallisto,SO,0.796160810681047,RC,P_ILM,L1,isoform
P_ILM_L2_B1,D5/D6,kallisto,SO,0.895936534801487,RC,P_ILM,L2,isoform
P_ILM_L2_B1,F7/D6,kallisto,SO,0.836985452221172,RC,P_ILM,L2,isoform
P_ILM_L2_B1,M8/D6,kallisto,SO,0.773667120323499,RC,P_ILM,L2,isoform
P_ILM_L5_B1,D5/D6,kallisto,SO,0.840806627464298,RC,P_ILM,L5,isoform
P_ILM_L5_B1,F7/D6,kallisto,SO,0.759572218203686,RC,P_ILM,L5,isoform
P_ILM_L5_B1,M8/D6,kallisto,SO,0.769065346409294,RC,P_ILM,L5,isoform
P_ILM_L6_B1,D5/D6,kallisto,SO,0.831892974450492,RC,P_ILM,L6,isoform
P_ILM_L6_B1,F7/D6,kallisto,SO,0.887181848971118,RC,P_ILM,L6,isoform
P_ILM_L6_B1,M8/D6,kallisto,SO,0.76757279063138,RC,P_ILM,L6,isoform
P_ILM_L8_B1,D5/D6,kallisto,SO,0.872848482113784,RC,P_ILM,L8,isoform
P_ILM_L8_B1,F7/D6,kallisto,SO,0.851708909503444,RC,P_ILM,L8,isoform
P_ILM_L8_B1,M8/D6,kallisto,SO,0.775515245398342,RC,P_ILM,L8,isoform
R_BGI_L3_B1,D5/D6,kallisto,SO,0.863416111829413,RC,R_BGI,L3,isoform
R_BGI_L3_B1,F7/D6,kallisto,SO,0.775063732131143,RC,R_BGI,L3,isoform
R_BGI_L3_B1,M8/D6,kallisto,SO,0.776934307775041,RC,R_BGI,L3,isoform
R_BGI_L6_B1,D5/D6,kallisto,SO,0.780183087486341,RC,R_BGI,L6,isoform
R_BGI_L6_B1,F7/D6,kallisto,SO,0.815679305428485,RC,R_BGI,L6,isoform
R_BGI_L6_B1,M8/D6,kallisto,SO,0.723158796541885,RC,R_BGI,L6,isoform
R_BGI_L7_B1,D5/D6,kallisto,SO,0.758353246878426,RC,R_BGI,L7,isoform
R_BGI_L7_B1,F7/D6,kallisto,SO,0.703342246138184,RC,R_BGI,L7,isoform
R_BGI_L7_B1,M8/D6,kallisto,SO,0.701275664491596,RC,R_BGI,L7,isoform
R_ELE_LH_B1,D5/D6,kallisto,SO,0.833235569895505,RC,R_ELE,LH,isoform
R_ELE_LH_B1,F7/D6,kallisto,SO,0.738735682538474,RC,R_ELE,LH,isoform
R_ELE_LH_B1,M8/D6,kallisto,SO,0.743535289512373,RC,R_ELE,LH,isoform
R_ILM_L1_B1,D5/D6,kallisto,SO,0.809947359309218,RC,R_ILM,L1,isoform
R_ILM_L1_B1,F7/D6,kallisto,SO,0.75336017680577,RC,R_ILM,L1,isoform
R_ILM_L1_B1,M8/D6,kallisto,SO,0.741950445433637,RC,R_ILM,L1,isoform
R_ILM_L2_B1,D5/D6,kallisto,SO,0.757599395738082,RC,R_ILM,L2,isoform
R_ILM_L2_B1,F7/D6,kallisto,SO,0.706465573670001,RC,R_ILM,L2,isoform
R_ILM_L2_B1,M8/D6,kallisto,SO,0.703099870108316,RC,R_ILM,L2,isoform
R_ILM_L2_B2,D5/D6,kallisto,SO,0.878856221442127,RC,R_ILM,L2,isoform
R_ILM_L2_B2,F7/D6,kallisto,SO,0.796031653402217,RC,R_ILM,L2,isoform
R_ILM_L2_B2,M8/D6,kallisto,SO,0.758477105823185,RC,R_ILM,L2,isoform
R_ILM_L4_B1,D5/D6,kallisto,SO,0.797331023149406,RC,R_ILM,L4,isoform
R_ILM_L4_B1,F7/D6,kallisto,SO,0.744619078400439,RC,R_ILM,L4,isoform
R_ILM_L4_B1,M8/D6,kallisto,SO,0.724880435163047,RC,R_ILM,L4,isoform
R_ILM_L4_B2,D5/D6,kallisto,SO,0.833737562641694,RC,R_ILM,L4,isoform
R_ILM_L4_B2,F7/D6,kallisto,SO,0.817094591035959,RC,R_ILM,L4,isoform
R_ILM_L4_B2,M8/D6,kallisto,SO,0.751997797160079,RC,R_ILM,L4,isoform
R_ILM_L4_B3,D5/D6,kallisto,SO,0.875656737003832,RC,R_ILM,L4,isoform
R_ILM_L4_B3,F7/D6,kallisto,SO,0.86519270674737,RC,R_ILM,L4,isoform
R_ILM_L4_B3,M8/D6,kallisto,SO,0.75315401986286,RC,R_ILM,L4,isoform
R_ILM_L5_B1,D5/D6,kallisto,SO,0.831807729714309,RC,R_ILM,L5,isoform
R_ILM_L5_B1,F7/D6,kallisto,SO,0.784270312747455,RC,R_ILM,L5,isoform
R_ILM_L5_B1,M8/D6,kallisto,SO,0.77081876190444,RC,R_ILM,L5,isoform
R_ILM_L5_B2,D5/D6,kallisto,SO,0.843241183479681,RC,R_ILM,L5,isoform
R_ILM_L5_B2,F7/D6,kallisto,SO,0.803701337831718,RC,R_ILM,L5,isoform
R_ILM_L5_B2,M8/D6,kallisto,SO,0.768381685343517,RC,R_ILM,L5,isoform
R_ILM_L5_B3,D5/D6,kallisto,SO,0.647881167623413,RC,R_ILM,L5,isoform
R_ILM_L5_B3,F7/D6,kallisto,SO,0.600467474357479,RC,R_ILM,L5,isoform
R_ILM_L5_B3,M8/D6,kallisto,SO,0.595034870032865,RC,R_ILM,L5,isoform
